,game_id,date,team,opp,result,win,pt_diff,ortg,zone,fgm,fga,fg%
770,50,5/14/21,MEM,SAC,W 107-106,1,1,105.6,Mid-Range,0,6,0
771,51,5/14/21,SAC,MEM,L 106-107,0,-1,104.7,Mid-Range,1,4,0.25
772,52,5/14/21,OKC,UTA,L 93-109,0,-16,98.9,Mid-Range,7,14,0.5
773,53,5/14/21,UTA,OKC,W 109-93,1,16,115.9,Mid-Range,4,7,0.571428571
774,54,5/14/21,ORL,PHI,L 97-122,0,-25,100.9,Mid-Range,2,6,0.333333333
775,55,5/14/21,PHI,ORL,W 122-97,1,25,126.9,Mid-Range,5,11,0.454545455
776,56,5/14/21,CLE,WAS,L 105-120,0,-15,103.7,Mid-Range,4,5,0.8
777,57,5/14/21,WAS,CLE,W 120-105,1,15,118.5,Mid-Range,6,16,0.375
778,58,5/13/21,ATL,ORL,W 116-93,1,23,121.2,Mid-Range,6,16,0.375
779,59,5/13/21,ORL,ATL,L 93-116,0,-23,97.2,Mid-Range,6,16,0.375
780,60,5/13/21,CHI,TOR,W 114-102,1,12,117.6,Mid-Range,4,10,0.4
781,61,5/13/21,TOR,CHI,L 102-114,0,-12,105.2,Mid-Range,5,8,0.625
782,62,5/13/21,CHA,LAC,L 90-113,0,-23,98,Mid-Range,4,12,0.333333333
783,63,5/13/21,LAC,CHA,W 113-90,1,23,123,Mid-Range,4,11,0.363636364
784,64,5/13/21,IND,MIL,L 133-142,0,-9,123.4,Mid-Range,4,20,0.2
785,65,5/13/21,MIL,IND,W 142-133,1,9,131.7,Mid-Range,4,13,0.307692308
786,66,5/13/21,MEM,SAC,W 116-110,1,6,119.3,Mid-Range,1,4,0.25
787,67,5/13/21,SAC,MEM,L 110-116,0,-6,113.1,Mid-Range,2,4,0.5
788,68,5/13/21,MIA,PHI,W 106-94,1,12,120.4,Mid-Range,6,11,0.545454545
789,69,5/13/21,PHI,MIA,L 94-106,0,-12,106.8,Mid-Range,4,13,0.307692308
790,70,5/13/21,DEN,MIN,W 114-103,1,11,118.1,Mid-Range,4,7,0.571428571
791,71,5/13/21,MIN,DEN,L 103-114,0,-11,106.7,Mid-Range,3,7,0.428571429
792,72,5/13/21,NYK,SAS,W 102-98,1,4,108.2,Mid-Range,5,13,0.384615385
793,73,5/13/21,SAS,NYK,L 98-102,0,-4,103.9,Mid-Range,6,20,0.3
794,74,5/13/21,PHX,POR,W 118-117,1,1,119.5,Mid-Range,12,20,0.6
795,75,5/13/21,POR,PHX,L 117-118,0,-1,118.5,Mid-Range,3,6,0.5
796,76,5/12/21,ATL,WAS,W 120-116,1,4,115,Mid-Range,5,10,0.5
797,77,5/12/21,WAS,ATL,L 116-120,0,-4,111.1,Mid-Range,6,15,0.4
798,78,5/12/21,BKN,SAS,W 128-116,1,12,128.1,Mid-Range,2,7,0.285714286
799,79,5/12/21,SAS,BKN,L 116-128,0,-12,116.1,Mid-Range,4,15,0.266666667
800,80,5/12/21,BOS,CLE,L 94-102,0,-8,95.8,Mid-Range,0,9,0
801,81,5/12/21,CLE,BOS,W 102-94,1,8,103.9,Mid-Range,6,10,0.6
802,82,5/12/21,DAL,NOP,W 125-107,1,18,123.2,Mid-Range,3,11,0.272727273
803,83,5/12/21,NOP,DAL,L 107-125,0,-18,105.4,Mid-Range,6,13,0.461538462
804,84,5/12/21,HOU,LAL,L 122-124,0,-2,119.2,Mid-Range,0,3,0
805,85,5/12/21,LAL,HOU,W 124-122,1,2,121.2,Mid-Range,2,8,0.25
806,86,5/12/21,POR,UTA,W 105-98,1,7,118,Mid-Range,11,26,0.423076923
807,87,5/12/21,UTA,POR,L 98-105,0,-7,110.2,Mid-Range,3,6,0.5
808,88,5/11/21,BOS,MIA,L 121-129,0,-8,120.9,Mid-Range,7,13,0.538461538
809,89,5/11/21,MIA,BOS,W 129-121,1,8,128.9,Mid-Range,10,17,0.588235294
810,90,5/11/21,BKN,CHI,W 115-107,1,8,120.9,Mid-Range,5,11,0.454545455
811,91,5/11/21,CHI,BKN,L 107-115,0,-8,112.5,Mid-Range,4,15,0.266666667
812,92,5/11/21,CHA,DEN,L 112-117,0,-5,113.2,Mid-Range,1,7,0.142857143
813,93,5/11/21,DEN,CHA,W 117-112,1,5,118.2,Mid-Range,7,13,0.538461538
814,94,5/11/21,DET,MIN,L 100-119,0,-19,92.6,Mid-Range,0,4,0
815,95,5/11/21,MIN,DET,W 119-100,1,19,110.2,Mid-Range,3,10,0.3
816,96,5/11/21,GSW,PHX,W 122-116,1,6,131.1,Mid-Range,5,8,0.625
817,97,5/11/21,PHX,GSW,L 116-122,0,-6,124.6,Mid-Range,9,14,0.642857143
818,98,5/11/21,IND,PHI,W 103-94,1,9,108.1,Mid-Range,7,13,0.538461538
819,99,5/11/21,PHI,IND,L 94-103,0,-9,98.6,Mid-Range,6,12,0.5
820,100,5/11/21,LAL,NYK,W 101-99 (OT),1,2,102.1,Mid-Range,5,20,0.25
821,101,5/11/21,NYK,LAL,L 99-101 (OT),0,-2,100.1,Mid-Range,8,21,0.380952381
822,102,5/11/21,DAL,MEM,L 104-133,0,-29,112.3,Mid-Range,2,9,0.222222222
823,103,5/11/21,MEM,DAL,W 133-104,1,29,143.6,Mid-Range,6,8,0.75
824,104,5/11/21,MIL,ORL,W 114-102,1,12,110.5,Mid-Range,7,14,0.5
825,105,5/11/21,ORL,MIL,L 102-114,0,-12,98.8,Mid-Range,7,21,0.333333333
826,106,5/11/21,OKC,SAC,L 106-122,0,-16,103.3,Mid-Range,2,4,0.5
827,107,5/11/21,SAC,OKC,W 122-106,1,16,118.8,Mid-Range,2,7,0.285714286
828,108,5/11/21,LAC,TOR,W 115-96,1,19,120.9,Mid-Range,5,11,0.454545455
829,109,5/11/21,TOR,LAC,L 96-115,0,-19,100.9,Mid-Range,1,9,0.111111111
830,110,5/10/21,ATL,WAS,W 125-124,1,1,119.8,Mid-Range,8,16,0.5
831,111,5/10/21,WAS,ATL,L 124-125,0,-1,118.9,Mid-Range,9,16,0.5625
832,112,5/10/21,CLE,IND,L 102-111,0,-9,106.6,Mid-Range,0,4,0
833,113,5/10/21,IND,CLE,W 111-102,1,9,116,Mid-Range,1,5,0.2
834,114,5/10/21,GSW,UTA,W 119-116,1,3,120.9,Mid-Range,5,12,0.416666667
835,115,5/10/21,UTA,GSW,L 116-119,0,-3,117.9,Mid-Range,2,5,0.4
836,116,5/10/21,MEM,NOP,W 115-110,1,5,113.2,Mid-Range,3,9,0.333333333
837,117,5/10/21,NOP,MEM,L 110-115,0,-5,108.2,Mid-Range,7,13,0.538461538
838,118,5/10/21,HOU,POR,L 129-140,0,-11,126,Mid-Range,3,9,0.333333333
839,119,5/10/21,POR,HOU,W 140-129,1,11,136.8,Mid-Range,4,8,0.5
840,120,5/10/21,MIL,SAS,L 125-146,0,-21,121.8,Mid-Range,9,13,0.692307692
841,121,5/10/21,SAS,MIL,W 146-125,1,21,142.3,Mid-Range,14,25,0.56
842,122,5/9/21,BOS,MIA,L 124-130,0,-6,124.8,Mid-Range,5,9,0.555555556
843,123,5/9/21,MIA,BOS,W 130-124,1,6,130.8,Mid-Range,10,20,0.5
844,124,5/9/21,CHA,NOP,L 110-112,0,-2,105.1,Mid-Range,5,11,0.454545455
845,125,5/9/21,NOP,CHA,W 112-110,1,2,107,Mid-Range,3,5,0.6
846,126,5/9/21,CLE,DAL,L 97-124,0,-27,98.6,Mid-Range,6,15,0.4
847,127,5/9/21,DAL,CLE,W 124-97,1,27,126.1,Mid-Range,9,15,0.6
848,128,5/9/21,CHI,DET,W 108-96,1,12,115.4,Mid-Range,8,11,0.727272727
849,129,5/9/21,DET,CHI,L 96-108,0,-12,102.6,Mid-Range,3,6,0.5
850,130,5/9/21,LAC,NYK,L 100-106,0,-6,104.5,Mid-Range,6,14,0.428571429
851,131,5/9/21,NYK,LAC,W 106-100,1,6,110.8,Mid-Range,9,19,0.473684211
852,132,5/9/21,LAL,PHX,W 123-110,1,13,129.8,Mid-Range,4,11,0.363636364
853,133,5/9/21,PHX,LAL,L 110-123,0,-13,116.1,Mid-Range,3,10,0.3
854,134,5/9/21,MIN,ORL,W 128-96,1,32,124.9,Mid-Range,2,4,0.5
855,135,5/9/21,ORL,MIN,L 96-128,0,-32,93.6,Mid-Range,9,13,0.692307692
856,136,5/9/21,OKC,SAC,L 98-126,0,-28,98.1,Mid-Range,1,4,0.25
857,137,5/9/21,SAC,OKC,W 126-98,1,28,126.1,Mid-Range,1,6,0.166666667
858,138,5/8/21,BKN,DEN,W 125-119,1,6,128.3,Mid-Range,8,13,0.615384615
859,139,5/8/21,DEN,BKN,L 119-125,0,-6,122.2,Mid-Range,4,9,0.444444444
