Game ID,Date,Team,Opp,Result,Pts,Opp_Pts,ORtg
106,5/11/21,OKC,SAC,L 106-122,106,122,103.3
107,5/11/21,SAC,OKC,W 122-106,122,106,118.8
108,5/11/21,LAC,TOR,W 115-96,115,96,120.9
109,5/11/21,TOR,LAC,L 96-115,96,115,100.9
110,5/10/21,ATL,WAS,W 125-124,125,124,119.8
111,5/10/21,WAS,ATL,L 124-125,124,125,118.9
112,5/10/21,CLE,IND,L 102-111,102,111,106.6
113,5/10/21,IND,CLE,W 111-102,111,102,116
114,5/10/21,GSW,UTA,W 119-116,119,116,120.9
115,5/10/21,UTA,GSW,L 116-119,116,119,117.9
116,5/10/21,MEM,NOP,W 115-110,115,110,113.2
117,5/10/21,NOP,MEM,L 110-115,110,115,108.2
118,5/10/21,HOU,POR,L 129-140,129,140,126
119,5/10/21,POR,HOU,W 140-129,140,129,136.8
120,5/10/21,MIL,SAS,L 125-146,125,146,121.8
121,5/10/21,SAS,MIL,W 146-125,146,125,142.3
122,5/9/21,BOS,MIA,L 124-130,124,130,124.8
123,5/9/21,MIA,BOS,W 130-124,130,124,130.8
124,5/9/21,CHA,NOP,L 110-112,110,112,105.1
125,5/9/21,NOP,CHA,W 112-110,112,110,107
126,5/9/21,CLE,DAL,L 97-124,97,124,98.6
127,5/9/21,DAL,CLE,W 124-97,124,97,126.1
128,5/9/21,CHI,DET,W 108-96,108,96,115.4
129,5/9/21,DET,CHI,L 96-108,96,108,102.6
130,5/9/21,LAC,NYK,L 100-106,100,106,104.5
131,5/9/21,NYK,LAC,W 106-100,106,100,110.8
132,5/9/21,LAL,PHX,W 123-110,123,110,129.8
133,5/9/21,PHX,LAL,L 110-123,110,123,116.1
134,5/9/21,MIN,ORL,W 128-96,128,96,124.9
135,5/9/21,ORL,MIN,L 96-128,96,128,93.6
136,5/9/21,OKC,SAC,L 98-126,98,126,98.1
137,5/9/21,SAC,OKC,W 126-98,126,98,126.1
138,5/8/21,BKN,DEN,W 125-119,125,119,128.3
139,5/8/21,DEN,BKN,L 119-125,119,125,122.2
140,5/8/21,GSW,OKC,W 136-97,136,97,131.4
141,5/8/21,OKC,GSW,L 97-136,97,136,93.7
142,5/8/21,IND,WAS,L 132-133 (OT),132,133,110.1
143,5/8/21,WAS,IND,W 133-132 (OT),133,132,110.9
144,5/8/21,DET,PHI,L 104-118,104,118,107.8
145,5/8/21,PHI,DET,W 118-104,118,104,122.3
146,5/8/21,POR,SAS,W 124-102,124,102,124.9
147,5/8/21,SAS,POR,L 102-124,102,124,102.8
148,5/8/21,MEM,TOR,W 109-99,109,99,110.5
149,5/8/21,TOR,MEM,L 99-109,99,109,100.3
150,5/8/21,HOU,UTA,L 116-124,116,124,113.2
151,5/8/21,UTA,HOU,W 124-116,124,116,121
152,5/7/21,BOS,CHI,L 99-121,99,121,102.4
153,5/7/21,CHI,BOS,W 121-99,121,99,125.2
154,5/7/21,CHA,ORL,W 122-112,122,112,121.7
155,5/7/21,ORL,CHA,L 112-122,112,122,111.7
156,5/7/21,CLE,DAL,L 90-110,90,110,97
157,5/7/21,DAL,CLE,W 110-90,110,90,118.6
158,5/7/21,MIA,MIN,W 121-112,121,112,118.4
159,5/7/21,MIN,MIA,L 112-121,112,121,109.6
160,5/7/21,HOU,MIL,L 133-141,133,141,121.7
161,5/7/21,MIL,HOU,W 141-133,141,133,129.1
162,5/7/21,NOP,PHI,L 107-109,107,109,107.2
163,5/7/21,PHI,NOP,W 109-107,109,107,109.2
164,5/7/21,NYK,PHX,L 105-128,105,128,106.2
165,5/7/21,PHX,NYK,W 128-105,128,105,129.5
166,5/7/21,LAL,POR,L 101-106,101,106,102.4
167,5/7/21,POR,LAL,W 106-101,106,101,107.4
168,5/7/21,SAC,SAS,L 104-113,104,113,102.6
169,5/7/21,SAS,SAC,W 113-104,113,104,111.5
170,5/7/21,DEN,UTA,L 120-127,120,127,123.5
171,5/7/21,UTA,DEN,W 127-120,127,120,130.7
172,5/6/21,CHI,CHA,W 120-99,120,99,121.1
173,5/6/21,CHA,CHI,L 99-120,99,120,99.9
174,5/6/21,BKN,DAL,L 109-113,109,113,108.1
175,5/6/21,DAL,BKN,W 113-109,113,109,112
176,5/6/21,DET,MEM,W 111-97,111,97,116.7
177,5/6/21,MEM,DET,L 97-111,97,111,102
178,5/6/21,GSW,OKC,W 118-97,118,97,119.6
179,5/6/21,OKC,GSW,L 97-118,97,118,98.4
180,5/6/21,ATL,IND,L 126-133,126,133,122.3
181,5/6/21,IND,ATL,W 133-126,133,126,129.1
182,5/6/21,LAC,LAL,W 118-94,118,94,121.4
183,5/6/21,LAL,LAC,L 94-118,94,118,96.7
