Player,Name,Position,Age,Height,Weight,FGM,FGA,FG Percentage,Type,Previous Salary
<img src='caruso.png' height='80'></img>,Alex Caruso,G,27,"6'4""",186,0,4,0.00%,Unrestricted,2750000
<img src='aminu.png' height='80'></img>,Al-Farouq Aminu,F,30,"6'8""",220,0,1,0.00%,Unrestricted,9720900
<img src='stanley.png' height='80'></img>,Cassius Stanley,G,21,"6'5""",190,0,1,0.00%,Restricted,1175000
<img src='forbes.png' height='80'></img>,Bryn Forbes,G,27,"6'2""",205,0,3,0.00%,Player Option,2395574
<img src='nwora.png' height='80'></img>,Jordan Nwora,F,22,"6'8""",225,0,1,0.00%,Restricted,1208146
<img src='hall.png' height='80'></img>,Josh Hall,F,20,"6'9""",190,0,1,0.00%,Restricted,449115
<img src='martin.png' height='80'></img>,Jeremiah Martin,G,24,"6'2""",185,0,1,0.00%,Restricted,58452
<img src='oubrejr.png' height='80'></img>,Kelly Oubre Jr.,G-F,25,"6'7""",203,0,3,0.00%,Unrestricted,15000000
<img src='kornet.png' height='80'></img>,Luke Kornet,F-C,25,"7'2""",250,0,1,0.00%,Unrestricted,2250000
<img src='hoard.png' height='80'></img>,Jaylen Hoard,F,22,"6'8""",216,0,1,0.00%,Restricted,79568
<img src='allen.png' height='80'></img>,Jarrett Allen,C,23,"6'11""",243,0,2,0.00%,Restricted,2508646
<img src='vincent.png' height='80'></img>,Gabe Vincent,G,25,"6'3""",200,0,1,0.00%,Restricted,660750
<img src='kaminsky.png' height='80'></img>,Frank Kaminsky,F-C,28,"7'0""",240,0,1,0.00%,Unrestricted,4767000
<img src='giles.png' height='80'></img>,Harry Giles III,F-C,23,"6'11""",240,0,1,0.00%,Unrestricted,1678854
<img src='bonga.png' height='80'></img>,Isaac Bonga,G,21,"6'8""",180,0,1,0.00%,Restricted,1360238
<img src='sampson.png' height='80'></img>,JaKarr Sampson,F,28,"6'7""",214,0,2,0.00%,Unrestricted,1882867
